Mouse_gene_name	Mouse_id	Predicted_status	Number_of_mouse_orthologs	Degree	Rank	Weighted-degree	Weighted_rank	Zebrafish_gene_name	Zfin_id	Predicted_status	Number_of_zebrafish_orthologs	Degree	Rank	Weighted-degree	Weighted-rank
rac1	mgi:97845	direct_annotation_to_the_hindlimb	1:rac1	61	107	24.2558527849	103	rac1b	zdb-gene-060312-45	predicted	2:rac1a,rac1b	152	53	67.0359392701	50
nbr1	mgi:108498	direct_annotation_to_the_hindlimb	NA	14	359	5.01093221674	380	NA	NA	NA	2:nbr1a,nbr1b	NA	NA	NA	NA
egr2	mgi:95296	direct_annotation_to_the_hindlimb	NA	51	179	19.3103482399	169	NA	NA	NA	2:egr2a,egr2b	NA	NA	NA	NA
pkdcc	mgi:2147077	direct_annotation_to_the_hindlimb	NA	30	249	10.4770879475	258	NA	NA	NA	2:pkdccb,pkdcca	NA	NA	NA	NA
vegfa	mgi:103178	direct_annotation_to_the_hindlimb	1:vegfa	112	29	50.7476350323	20	vegfaa	zdb-gene-990415-273	predicted	2:vegfaa,vegfab	110	148	57.0151568383	100
vegfa	mgi:103178	direct_annotation_to_the_hindlimb	1:vegfa	112	29	50.7476350323	20	vegfab	zdb-gene-030131-4605	predicted	2:vegfaa,vegfab	92	205	45.8604834021	183
tg	mgi:98733	direct_annotation_to_the_hindlimb	NA	22	283	8.10607805569	291	NA	NA	NA	1:tg	NA	NA	NA	NA
feml3	mgi:1933829	direct_annotation_to_the_hindlimb	NA	38	215	11.7793545006	247	NA	NA	NA	NA	NA	NA	NA	NA
del(2hoxd8-hoxd10)15ddu	mgi:3616198	direct_annotation_to_the_hindlimb	NA	3	549	1.1019682337	565	NA	NA	NA	NA	NA	NA	NA	NA
egr1	mgi:95295	direct_annotation_to_the_hindlimb	NA	98	45	38.4933060623	50	NA	NA	NA	1:egr1	NA	NA	NA	NA
fign	mgi:1890647	direct_annotation_to_the_hindlimb	NA	6	480	1.98684650986	499	NA	NA	NA	1:fign	NA	NA	NA	NA
hook3	mgi:2443554	direct_annotation_to_the_hindlimb	NA	2	589	0.960020678359	587	NA	NA	NA	1:hook3	NA	NA	NA	NA
ppargc1a	mgi:1342774	direct_annotation_to_the_hindlimb	NA	34	230	14.4168958017	214	NA	NA	NA	1:ppargc1a	NA	NA	NA	NA
agpat2	mgi:1914762	direct_annotation_to_the_hindlimb	NA	6	480	2.0648465022	494	NA	NA	NA	NA	NA	NA	NA	NA
mpz	mgi:103177	direct_annotation_to_the_hindlimb	NA	5	500	1.9906878697	498	NA	NA	NA	1:mpz	NA	NA	NA	NA
cfap69	mgi:2443778	direct_annotation_to_the_hindlimb	NA	1	627	0.308553477334	655	NA	NA	NA	NA	NA	NA	NA	NA
lmblgq1	mgi:3042419	direct_annotation_to_the_hindlimb	NA	50	180	16.0102943412	198	NA	NA	NA	NA	NA	NA	NA	NA
lmblgq6	mgi:3042424	direct_annotation_to_the_hindlimb	NA	50	180	16.0102943412	198	NA	NA	NA	NA	NA	NA	NA	NA
sfrp4	mgi:892010	direct_annotation_to_the_hindlimb	NA	21	293	8.95375234081	277	NA	NA	NA	NA	NA	NA	NA	NA
lmblgq4	mgi:3042422	direct_annotation_to_the_hindlimb	NA	59	148	18.8336174872	177	NA	NA	NA	NA	NA	NA	NA	NA
lmblgq5	mgi:3042423	direct_annotation_to_the_hindlimb	NA	62	99	19.8998488852	132	NA	NA	NA	NA	NA	NA	NA	NA
tg(ckmm-ucp1)1boud	mgi:2652170	direct_annotation_to_the_hindlimb	NA	12	382	3.7497290723	426	NA	NA	NA	NA	NA	NA	NA	NA
smpd3	mgi:1927578	direct_annotation_to_the_hindlimb	NA	12	382	4.57803123615	398	NA	NA	NA	1:smpd3	NA	NA	NA	NA
evc	mgi:1890596	direct_annotation_to_the_hindlimb	NA	7	456	3.89169942849	415	NA	NA	NA	NA	NA	NA	NA	NA
hoxd12	mgi:96204	direct_annotation_to_the_hindlimb	NA	19	308	6.85699274041	320	NA	NA	NA	1:hoxd12a	NA	NA	NA	NA
hoxd13	mgi:96205	direct_annotation_to_the_hindlimb	NA	24	271	9.15520096933	272	NA	NA	NA	1:hoxd13a	NA	NA	NA	NA
hoxd10	mgi:96202	direct_annotation_to_the_hindlimb	NA	2	589	0.627597834984	623	NA	NA	NA	1:hoxd10a	NA	NA	NA	NA
bmpr1a	mgi:1338938	direct_annotation_to_the_hindlimb	1:bmpr1a	85	62	35.5241664116	61	bmpr1ab	zdb-gene-040912-150	predicted	2:bmpr1ab,bmpr1aa	50	393	22.5899122864	386
bmpr1a	mgi:1338938	direct_annotation_to_the_hindlimb	1:bmpr1a	85	62	35.5241664116	61	bmpr1aa	zdb-gene-000502-1	predicted	2:bmpr1ab,bmpr1aa	77	261	36.7891856095	251
ap4e1	mgi:1336993	direct_annotation_to_the_hindlimb	NA	7	456	2.58731359044	474	NA	NA	NA	NA	NA	NA	NA	NA
fam20a	mgi:2388266	direct_annotation_to_the_hindlimb	NA	5	500	2.0196824869	497	NA	NA	NA	NA	NA	NA	NA	NA
prrx1	mgi:97712	direct_annotation_to_the_hindlimb	NA	57	159	20.0758972602	129	NA	NA	NA	NA	NA	NA	NA	NA
nfxl1	mgi:1923646	direct_annotation_to_the_hindlimb	NA	22	283	6.91650891627	318	NA	NA	NA	1:nfxl1	NA	NA	NA	NA
foxj3	mgi:2443432	direct_annotation_to_the_hindlimb	NA	3	549	0.980135136034	582	NA	NA	NA	1:foxj3	NA	NA	NA	NA
fa2h	mgi:2443327	direct_annotation_to_the_hindlimb	NA	3	549	1.00207130513	576	NA	NA	NA	1:fa2h	NA	NA	NA	NA
serpinh1	mgi:88283	direct_annotation_to_the_hindlimb	NA	37	219	15.4999465438	206	NA	NA	NA	2:serpinh1b,serpinh1a	NA	NA	NA	NA
itga10	mgi:2153482	direct_annotation_to_the_hindlimb	NA	31	247	13.325913583	227	NA	NA	NA	1:itga10	NA	NA	NA	NA
uchl1	mgi:103149	direct_annotation_to_the_hindlimb	NA	2	589	0.864144426031	598	NA	NA	NA	1:uchl1	NA	NA	NA	NA
bnip2	mgi:109327	direct_annotation_to_the_hindlimb	NA	3	549	1.62328601072	523	NA	NA	NA	NA	NA	NA	NA	NA
cln8	mgi:1349447	direct_annotation_to_the_hindlimb	NA	2	589	0.74698654908	603	NA	NA	NA	NA	NA	NA	NA	NA
rgsc216	mgi:3798992	direct_annotation_to_the_hindlimb	NA	77	78	24.9409923752	98	NA	NA	NA	NA	NA	NA	NA	NA
smn1	mgi:109257	direct_annotation_to_the_hindlimb	NA	1	627	0.320798765079	650	NA	NA	NA	1:smn1	NA	NA	NA	NA
lgmn	mgi:1330838	direct_annotation_to_the_hindlimb	NA	4	524	1.29641245105	548	NA	NA	NA	NA	NA	NA	NA	NA
large1	mgi:1342270	direct_annotation_to_the_hindlimb	NA	8	436	2.84375537619	459	NA	NA	NA	1:large1	NA	NA	NA	NA
grid2	mgi:95813	direct_annotation_to_the_hindlimb	NA	2	589	0.920239002717	594	NA	NA	NA	1:grid2	NA	NA	NA	NA
tg(sp7-tta,teto-egfp/cre)1amc	mgi:3689349	direct_annotation_to_the_hindlimb	NA	6	480	1.92364903436	502	NA	NA	NA	NA	NA	NA	NA	NA
retreg3	mgi:1915248	direct_annotation_to_the_hindlimb	NA	3	549	1.04319139038	575	NA	NA	NA	1:retreg3	NA	NA	NA	NA
ror2	mgi:1347521	direct_annotation_to_the_hindlimb	NA	46	192	16.0608088048	197	NA	NA	NA	1:ror2	NA	NA	NA	NA
foxc1	mgi:1347466	direct_annotation_to_the_hindlimb	NA	54	167	19.2512548746	170	NA	NA	NA	2:foxc1b,foxc1a	NA	NA	NA	NA
cnn1	mgi:104979	direct_annotation_to_the_hindlimb	NA	39	209	12.0581652452	245	NA	NA	NA	2:cnn1a,cnn1b	NA	NA	NA	NA
hic1	mgi:1338010	direct_annotation_to_the_hindlimb	NA	8	436	3.22635329442	445	NA	NA	NA	1:hic1	NA	NA	NA	NA
ccdc33	mgi:1922464	direct_annotation_to_the_hindlimb	NA	5	500	1.58258560014	525	NA	NA	NA	1:ccdc33	NA	NA	NA	NA
rcan2	mgi:1858219	direct_annotation_to_the_hindlimb	NA	2	589	0.714923314956	607	NA	NA	NA	1:rcan2	NA	NA	NA	NA
clec2d	mgi:2135589	direct_annotation_to_the_hindlimb	NA	14	359	4.71559644403	392	NA	NA	NA	NA	NA	NA	NA	NA
mapk14	mgi:1346865	direct_annotation_to_the_hindlimb	1:mapk14	164	4	71.7856344632	4	mapk14a	zdb-gene-010202-2	predicted	2:mapk14a,mapk14b	213	12	92.1789195706	17
mapk14	mgi:1346865	direct_annotation_to_the_hindlimb	1:mapk14	164	4	71.7856344632	4	mapk14b	zdb-gene-021007-1	predicted	2:mapk14a,mapk14b	150	59	59.24	89
met	mgi:96969	direct_annotation_to_the_hindlimb	1:met	80	73	34.8637103035	64	met	zdb-gene-041014-1	predicted	1:met	221	8	90.8735108093	20
mindy1	mgi:1922257	direct_annotation_to_the_hindlimb	NA	20	299	6.84911221862	321	NA	NA	NA	1:mindy1	NA	NA	NA	NA
tg(cag-bgeo,-fgf4)1mrt	mgi:3832272	direct_annotation_to_the_hindlimb	NA	1	627	0.309553829591	652	NA	NA	NA	NA	NA	NA	NA	NA
acp5	mgi:87883	direct_annotation_to_the_hindlimb	NA	23	277	9.23087909322	269	NA	NA	NA	1:acp5a	NA	NA	NA	NA
rora	mgi:104661	direct_annotation_to_the_hindlimb	NA	4	524	1.73345322051	515	NA	NA	NA	2:rorab,roraa	NA	NA	NA	NA
sptbn2	mgi:1313261	direct_annotation_to_the_hindlimb	NA	11	392	4.62299107742	395	NA	NA	NA	1:sptbn2	NA	NA	NA	NA
tg(col10a1-tg*l2263p)1rpbh	mgi:4397572	direct_annotation_to_the_hindlimb	NA	2	589	0.616058256946	626	NA	NA	NA	NA	NA	NA	NA	NA
mcoln1	mgi:1890498	direct_annotation_to_the_hindlimb	NA	1	627	0.301075675726	669	NA	NA	NA	2:mcoln1a,mcoln1b	NA	NA	NA	NA
col12a1	mgi:88448	direct_annotation_to_the_hindlimb	NA	12	382	6.29977829785	340	NA	NA	NA	2:col12a1b,col12a1a	NA	NA	NA	NA
bmp7	mgi:103302	predicted	1:bmp7	116	25	48.2316450146	26	bmp7a	zdb-gene-000208-25	predicted	2:bmp7a,bmp7b	96	194	46.1287929706	178
fshr	mgi:95583	direct_annotation_to_the_hindlimb	NA	23	277	10.1857551131	261	NA	NA	NA	1:fshr	NA	NA	NA	NA
klf10	mgi:1101353	direct_annotation_to_the_hindlimb	NA	6	480	2.14978669889	492	NA	NA	NA	1:klf10	NA	NA	NA	NA
zmpste24	mgi:1890508	direct_annotation_to_the_hindlimb	NA	7	456	2.67543110535	471	NA	NA	NA	1:zmpste24	NA	NA	NA	NA
del(2hoxd1-hoxd13)12ddu	mgi:3616191	direct_annotation_to_the_hindlimb	NA	3	549	1.1019682337	565	NA	NA	NA	NA	NA	NA	NA	NA
pdgfra	mgi:97530	predicted	NA	113	28	45.20742904	31	NA	NA	NA	1:pdgfra	NA	NA	NA	NA
inpp5d	mgi:107357	direct_annotation_to_the_hindlimb	NA	15	350	6.23677497043	342	NA	NA	NA	NA	NA	NA	NA	NA
dnajc5b	mgi:1913576	direct_annotation_to_the_hindlimb	NA	3	549	0.951382662682	590	NA	NA	NA	1:dnajc5b	NA	NA	NA	NA
calcr	mgi:101950	direct_annotation_to_the_hindlimb	NA	22	283	10.1355061614	262	NA	NA	NA	1:calcr	NA	NA	NA	NA
vkorc1	mgi:106442	direct_annotation_to_the_hindlimb	NA	11	392	3.62829321447	430	NA	NA	NA	1:vkorc1	NA	NA	NA	NA
tg(sod1*g37r)9dpr	mgi:3573959	direct_annotation_to_the_hindlimb	NA	1	627	0.304805101138	662	NA	NA	NA	NA	NA	NA	NA	NA
apc	mgi:88039	direct_annotation_to_the_hindlimb	NA	54	167	20.4160000839	126	NA	NA	NA	1:apc	NA	NA	NA	NA
fkrp	mgi:2447586	direct_annotation_to_the_hindlimb	NA	4	524	1.4399609179	540	NA	NA	NA	1:fkrp	NA	NA	NA	NA
ghrhr	mgi:95710	direct_annotation_to_the_hindlimb	NA	11	392	5.43661827504	364	NA	NA	NA	2:ghrhrb,ghrhra	NA	NA	NA	NA
phex	mgi:107489	direct_annotation_to_the_hindlimb	NA	36	223	12.4306834701	238	NA	NA	NA	1:phex	NA	NA	NA	NA
m10.17.7djba	mgi:4829475	direct_annotation_to_the_hindlimb	NA	61	107	19.6922901193	140	NA	NA	NA	NA	NA	NA	NA	NA
kif5a	mgi:109564	direct_annotation_to_the_hindlimb	NA	6	480	2.71396783228	467	NA	NA	NA	2:kif5ab,kif5aa	NA	NA	NA	NA
cd163	mgi:2135946	direct_annotation_to_the_hindlimb	NA	8	436	2.98269940256	454	NA	NA	NA	NA	NA	NA	NA	NA
bntq1	mgi:3578872	direct_annotation_to_the_hindlimb	NA	60	141	18.5865070467	183	NA	NA	NA	NA	NA	NA	NA	NA
thrb	mgi:98743	direct_annotation_to_the_hindlimb	NA	17	329	6.37981651307	339	NA	NA	NA	1:thrb	NA	NA	NA	NA
twl	mgi:1890571	direct_annotation_to_the_hindlimb	NA	63	97	19.5630515148	163	NA	NA	NA	NA	NA	NA	NA	NA
thra	mgi:98742	direct_annotation_to_the_hindlimb	NA	34	230	12.8085525664	233	NA	NA	NA	2:thraa,thrab	NA	NA	NA	NA
igfbp3	mgi:96438	direct_annotation_to_the_hindlimb	NA	32	243	12.531788795	235	NA	NA	NA	1:igfbp3	NA	NA	NA	NA
bmp5	mgi:88181	direct_annotation_to_the_hindlimb	NA	58	155	23.5863398774	109	NA	NA	NA	1:bmp5	NA	NA	NA	NA
dll3	mgi:1096877	direct_annotation_to_the_hindlimb	NA	7	456	2.70943012768	468	NA	NA	NA	NA	NA	NA	NA	NA
dmp1	mgi:94910	direct_annotation_to_the_hindlimb	NA	14	359	5.31142887015	368	NA	NA	NA	NA	NA	NA	NA	NA
flnb	mgi:2446089	direct_annotation_to_the_hindlimb	NA	19	308	7.38682717787	307	NA	NA	NA	NA	NA	NA	NA	NA
flnc	mgi:95557	direct_annotation_to_the_hindlimb	NA	17	329	6.9482155961	317	NA	NA	NA	2:flnca,flncb	NA	NA	NA	NA
ppib	mgi:97750	direct_annotation_to_the_hindlimb	NA	13	370	6.70447367165	324	NA	NA	NA	1:ppib	NA	NA	NA	NA
scube2	mgi:1928765	direct_annotation_to_the_hindlimb	1:scube2	11	392	3.48884511156	434	scube2	zdb-gene-050302-80	predicted	1:scube2	15	540	6.49737268287	543
scube3	mgi:3045253	direct_annotation_to_the_hindlimb	NA	4	524	1.26524871164	550	NA	NA	NA	1:scube3	NA	NA	NA	NA
lrp6	mgi:1298218	direct_annotation_to_the_hindlimb	NA	55	165	23.0846982985	112	NA	NA	NA	1:lrp6	NA	NA	NA	NA
lrp4	mgi:2442252	direct_annotation_to_the_hindlimb	NA	11	392	3.91423289783	414	NA	NA	NA	1:lrp4	NA	NA	NA	NA
esr1	mgi:1352467	direct_annotation_to_the_hindlimb	NA	127	16	52.2753887547	18	NA	NA	NA	1:esr1	NA	NA	NA	NA
gdf6	mgi:95689	direct_annotation_to_the_hindlimb	NA	15	350	6.09501390984	350	NA	NA	NA	2:gdf6b,gdf6a	NA	NA	NA	NA
gdf5	mgi:95688	direct_annotation_to_the_hindlimb	NA	56	161	20.82192574	123	NA	NA	NA	1:gdf5	NA	NA	NA	NA
scyl1	mgi:1931787	direct_annotation_to_the_hindlimb	NA	1	627	0.32452935425	645	NA	NA	NA	1:scyl1	NA	NA	NA	NA
suz12	mgi:1261758	direct_annotation_to_the_hindlimb	NA	8	436	3.2832176031	442	NA	NA	NA	2:suz12b,suz12a	NA	NA	NA	NA
ndrg1	mgi:1341799	direct_annotation_to_the_hindlimb	NA	4	524	1.52924131784	534	NA	NA	NA	2:ndrg1b,ndrg1a	NA	NA	NA	NA
plin1	mgi:1890505	direct_annotation_to_the_hindlimb	NA	4	524	1.50512583202	536	NA	NA	NA	1:plin1	NA	NA	NA	NA
sfrp2	mgi:108078	direct_annotation_to_the_hindlimb	NA	38	215	14.9536260525	211	NA	NA	NA	1:sfrp2	NA	NA	NA	NA
prodh	mgi:97770	direct_annotation_to_the_hindlimb	NA	3	549	1.23958610239	554	NA	NA	NA	2:prodha,prodhb	NA	NA	NA	NA
duoxa2	mgi:1914061	direct_annotation_to_the_hindlimb	NA	5	500	1.72830517064	516	NA	NA	NA	NA	NA	NA	NA	NA
plagl1	mgi:1100874	direct_annotation_to_the_hindlimb	NA	7	456	2.42768414762	480	NA	NA	NA	NA	NA	NA	NA	NA
nlrp3	mgi:2653833	direct_annotation_to_the_hindlimb	NA	14	359	5.53157165797	362	NA	NA	NA	NA	NA	NA	NA	NA
mb	mgi:96922	direct_annotation_to_the_hindlimb	NA	22	283	8.25645946943	288	NA	NA	NA	1:mb	NA	NA	NA	NA
des	mgi:94885	direct_annotation_to_the_hindlimb	1:des	37	219	14.3164305638	217	desma	zdb-gene-980526-221	predicted	2:desmb,desma	28	475	13.164285615	462
h6pd	mgi:2140356	direct_annotation_to_the_hindlimb	NA	12	382	3.99611153638	409	NA	NA	NA	1:h6pd	NA	NA	NA	NA
fermt2	mgi:2385001	direct_annotation_to_the_hindlimb	NA	6	480	2.17854587765	491	NA	NA	NA	1:fermt2	NA	NA	NA	NA
tbx3	mgi:98495	direct_annotation_to_the_hindlimb	NA	40	207	14.3534151459	216	NA	NA	NA	1:tbx3a	NA	NA	NA	NA
tnf	mgi:104798	direct_annotation_to_the_hindlimb	NA	150	10	65.6905061597	8	NA	NA	NA	2:tnfa,tnfb	NA	NA	NA	NA
cyp27b1	mgi:1098274	direct_annotation_to_the_hindlimb	NA	33	236	12.2284609847	241	NA	NA	NA	1:cyp27b1	NA	NA	NA	NA
ube2g1	mgi:1914378	direct_annotation_to_the_hindlimb	NA	11	392	3.8159609439	421	NA	NA	NA	1:ube2g1a	NA	NA	NA	NA
sptbn4	mgi:1890574	direct_annotation_to_the_hindlimb	NA	10	412	4.23216002707	403	NA	NA	NA	1:sptbn4	NA	NA	NA	NA
wnt7a	mgi:98961	direct_annotation_to_the_hindlimb	NA	72	83	31.3869592575	75	NA	NA	NA	2:wnt7aa,wnt7ab	NA	NA	NA	NA
nppc	mgi:97369	direct_annotation_to_the_hindlimb	NA	10	412	3.93473859353	412	NA	NA	NA	1:nppc	NA	NA	NA	NA
aldh1a2	mgi:107928	direct_annotation_to_the_hindlimb	1:aldh1a2	26	257	9.89334147372	263	aldh1a2	zdb-gene-011010-3	predicted	1:aldh1a2	64	330	25.4504026422	354
kcnj10	mgi:1194504	direct_annotation_to_the_hindlimb	NA	2	589	0.617217891778	625	NA	NA	NA	2:kcnj10a,kcnj10b	NA	NA	NA	NA
gper1	mgi:1924104	direct_annotation_to_the_hindlimb	NA	19	308	7.98614298392	293	NA	NA	NA	1:gper1	NA	NA	NA	NA
ocln	mgi:106183	direct_annotation_to_the_hindlimb	NA	22	283	8.16824119919	290	NA	NA	NA	NA	NA	NA	NA	NA
mysm1	mgi:2444584	direct_annotation_to_the_hindlimb	1:mysm1	11	392	4.64078647633	394	mysm1	NA	predicted	1:gper1	98	184	43.0713105587	209
l1cam	mgi:96721	direct_annotation_to_the_hindlimb	NA	4	524	1.5607776562	529	NA	NA	NA	2:l1cama,l1camb	NA	NA	NA	NA
gas1	mgi:95655	direct_annotation_to_the_hindlimb	NA	11	392	5.043786255	378	NA	NA	NA	2:gas1a,gas1b	NA	NA	NA	NA
trim63	mgi:2447992	direct_annotation_to_the_hindlimb	NA	5	500	1.96275171443	501	NA	NA	NA	2:trim63a,trim63b	NA	NA	NA	NA
gas7	mgi:1202388	direct_annotation_to_the_hindlimb	NA	7	456	2.42240127458	481	NA	NA	NA	2:gas7b,gas7a	NA	NA	NA	NA
ryk	mgi:101766	direct_annotation_to_the_hindlimb	NA	16	343	7.70997866287	301	NA	NA	NA	1:ryk	NA	NA	NA	NA
socs2	mgi:1201787	direct_annotation_to_the_hindlimb	NA	50	180	19.0888593012	173	NA	NA	NA	1:socs2	NA	NA	NA	NA
fam46a	mgi:2670964	direct_annotation_to_the_hindlimb	NA	3	549	0.911147241954	596	NA	NA	NA	NA	NA	NA	NA	NA
pstc6	mgi:3699721	direct_annotation_to_the_hindlimb	NA	61	107	19.6922901193	140	NA	NA	NA	NA	NA	NA	NA	NA
chrd	mgi:1313268	predicted	NA	70	85	29.8136269402	81	NA	NA	NA	1:chrd	NA	NA	NA	NA
atn1	mgi:104725	direct_annotation_to_the_hindlimb	NA	1	627	0.309490552113	653	NA	NA	NA	1:atn1	NA	NA	NA	NA
trp63	mgi:1330810	direct_annotation_to_the_hindlimb	NA	36	223	13.3140441259	228	NA	NA	NA	1:tp63	NA	NA	NA	NA
sp8	mgi:2443471	direct_annotation_to_the_hindlimb	NA	17	329	6.00622156255	352	NA	NA	NA	2:sp8a,sp8b	NA	NA	NA	NA
tgfb1	mgi:98725	predicted	NA	124	18	54.2762536223	15	NA	NA	NA	2:tgfb1b,tgfb1a	NA	NA	NA	NA
tgfb2	mgi:98726	direct_annotation_to_the_hindlimb	NA	88	58	36.2304931829	57	NA	NA	NA	1:tgfb2	NA	NA	NA	NA
igf2	mgi:96434	direct_annotation_to_the_hindlimb	NA	83	64	33.6991225577	69	NA	NA	NA	2:igf2a,igf2b	NA	NA	NA	NA
spop	mgi:1343085	direct_annotation_to_the_hindlimb	NA	2	589	1.06146561965	573	NA	NA	NA	1:spop	NA	NA	NA	NA
mecom	mgi:95457	direct_annotation_to_the_hindlimb	NA	23	277	7.90956740386	295	NA	NA	NA	NA	NA	NA	NA	NA
sp3	mgi:1277166	direct_annotation_to_the_hindlimb	NA	39	209	14.1869851476	219	NA	NA	NA	1:sp3b	NA	NA	NA	NA
sp7	mgi:2153568	predicted	NA	52	175	21.0092790538	119	NA	NA	NA	1:sp7	NA	NA	NA	NA
ciita	mgi:108445	direct_annotation_to_the_hindlimb	NA	10	412	3.79943370624	423	NA	NA	NA	1:ciita	NA	NA	NA	NA
tg(prrx1-hand2)5eno	mgi:2652064	direct_annotation_to_the_hindlimb	NA	7	456	2.23719546166	487	NA	NA	NA	NA	NA	NA	NA	NA
phospho1	mgi:2447348	direct_annotation_to_the_hindlimb	NA	16	343	5.70867482043	357	NA	NA	NA	1:phospho1	NA	NA	NA	NA
tshr	mgi:98849	direct_annotation_to_the_hindlimb	NA	18	314	8.89084063624	280	NA	NA	NA	1:tshr	NA	NA	NA	NA
pitx1	mgi:107374	direct_annotation_to_the_hindlimb	1:pitx1	26	257	9.51487896406	267	pitx1	zdb-gene-060421-3623	predicted	1:pitx1	8	580	2.80352941176	592
ghr	mgi:95708	direct_annotation_to_the_hindlimb	NA	36	223	15.7841051075	203	NA	NA	NA	2:ghrb,ghra	NA	NA	NA	NA
med25	mgi:1922863	direct_annotation_to_the_hindlimb	NA	60	141	18.9822443603	175	NA	NA	NA	1:med25	NA	NA	NA	NA
en1	mgi:95389	direct_annotation_to_the_hindlimb	NA	33	236	13.3101134139	229	NA	NA	NA	2:en1b,en1a	NA	NA	NA	NA
pax3	mgi:97487	direct_annotation_to_the_hindlimb	1:pax3	81	71	31.1909184743	76	pax3b	zdb-gene-080917-53	predicted	2:pax3b,pax3a	6	592	2.43743472346	595
pax3	mgi:97487	direct_annotation_to_the_hindlimb	1:pax3	81	71	31.1909184743	76	pax3a	zdb-gene-980526-52	predicted	2:pax3b,pax3a	32	459	13.4121601306	458
tg(tnfsf11)5519edou	mgi:5788417	direct_annotation_to_the_hindlimb	NA	5	500	1.54432013421	530	NA	NA	NA	NA	NA	NA	NA	NA
tg(tek-gfp/cbfb)2spe	mgi:2653203	direct_annotation_to_the_hindlimb	NA	1	627	0.323601162687	646	NA	NA	NA	NA	NA	NA	NA	NA
nabp2	mgi:1917167	direct_annotation_to_the_hindlimb	NA	2	589	0.64697402979	619	NA	NA	NA	NA	NA	NA	NA	NA
pax8	mgi:97492	direct_annotation_to_the_hindlimb	NA	32	243	11.7535100446	249	NA	NA	NA	1:pax8	NA	NA	NA	NA
gria2	mgi:95809	direct_annotation_to_the_hindlimb	NA	11	392	4.47345430118	399	NA	NA	NA	2:gria2a,gria2b	NA	NA	NA	NA
ppt1	mgi:1298204	direct_annotation_to_the_hindlimb	NA	2	589	0.895955831069	597	NA	NA	NA	NA	NA	NA	NA	NA
hras	mgi:96224	predicted	1:hras	174	2	72.8342309112	2	hrasb	zdb-gene-050522-466	predicted	2:hrasb,hrasa	107	160	48.0852941176	162
sost	mgi:1921749	direct_annotation_to_the_hindlimb	NA	42	201	16.6778128286	195	NA	NA	NA	1:sost	NA	NA	NA	NA
ighmbp2	mgi:99954	direct_annotation_to_the_hindlimb	NA	10	412	3.46892099367	435	NA	NA	NA	1:ighmbp2	NA	NA	NA	NA
ttn	mgi:98864	direct_annotation_to_the_hindlimb	NA	24	271	9.78588598726	265	NA	NA	NA	NA	NA	NA	NA	NA
